Table A-1. Rankings of 2010 U.S. midterm candidates based on Twitter voter-candidate engagement indicators,,,,,,,,,,,,,,,
Rank,Number of followers,,,Number of @mentions,,,Number of retweets,,,Number of @mentions per tweet,,,Number of retweets per tweet,,
,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score
165,Tim Bishop (D),H,673,Bob Gibbs (R),H,120,Chris Dudley (R),G,66,Tom Marino (R),H,2.13,Glen Urquhart (R),H,1.18
166,David Ryon (3),H,666,Rodney Glassman (D),S,119,Chet Edwards (D),H,64,Suzanne M. Kosmas (D),H,2.11,Mike Fitzpatrick (R),H,1.18
167,Nan Hayworth (R),H,658,Gerry Connolly (D),H,118,Dave Argall (R),H,64,Eric Wargotz (R),S,2.09,Jon Barela (R),H,1.18
168,Bob Gibbs (R),H,634,Pat Meehan (R),H,117,Sam Brownback (R),G,63,Robert Bentley (R),G,2.07,"Robert Leroy \Bob\"" Ehrlich"" (R)",G,1.17
169,Joseph Cao (R),H,628,Kevin Yoder (R),H,114,Ami Bera (D),H,62,Lincoln Davis (D),H,2.07,Todd Lally (R),H,1.17
170,Manan Trivedi (D),H,626,Peter Corroon (D),G,112,Randy Altschuler (R),H,62,Jon Barela (R),H,2.05,Diane Denish (D),G,1.16
171,Mike McWherter (D),G,622,John Hickenlooper (D),G,109,Beth Anne Rankin (R),H,61,Tom Tancredo (3),G,2.02,Brad Zaun (R),H,1.15
172,Joe Heck (R),H,622,John Spratt (D),H,109,Raj Goyle (D),H,60,Baron Hill (D),H,2.00,Paul Gosar (R),H,1.15
173,Steven Wilson (3),H,618,Scott Bruun (R),H,108,Mike Kelly (R),H,59,Harold Johnson (R),H,2.00,Tim Bishop (D),H,1.15
174,Frank Caprio (D),G,614,John Lynch (D),G,107,Dave Reichert (R),H,59,Bruce Braley (D),H,2.00,Martha Roby (R),H,1.14
175,Lou Barletta (R),H,609,Raymond McKinney (R),H,104,Chad Causey (D),H,57,Bill Johnson (R),H,1.97,Steve Southerland (R),H,1.14
176,Paul Gosar (R),H,597,Debbie Halvorson (D),H,104,Mary Bono Mack (R),H,57,Ron Sparks (D),G,1.95,Manan Trivedi (D),H,1.13
177,Robert Hurt (R),H,594,Larry Bucshon (R),H,103,David Mckinley (R),H,57,David Harmer (R),H,1.94,Denny Heck (D),H,1.13
178,Todd Young (R),H,591,Scott Tipton (R),H,101,John Stephen (R),G,56,Blanche Lincoln (D),S,1.86,Joe Walsh (R),H,1.12
179,Ann Marie Buerkle (R),H,568,John Stephen (R),G,101,Brad Ellsworth (D),S,55,Johnny Isakson (R),S,1.80,Eric Wargotz (R),S,1.12
180,Kevin Yoder (R),H,562,Dennis Ross (R),H,99,Gerry Connolly (D),H,55,Mike Beebe (D),G,1.79,Jim Huffman (R),S,1.11
181,Randy Hultgren (R),H,556,Mary Bono Mack (R),H,98,Kevin Yoder (R),H,54,Sam Granato (D),S,1.77,Betsy Markey (D),H,1.11
182,Harold Johnson (R),H,552,Gabrielle Giffords (D),H,98,Sam Granato (D),S,54,Denny Heck (D),H,1.76,Bruce Braley (D),H,1.11
183,Bill Keating (D),H,544,Ann McLane Kuster (D),H,95,Larry Bucshon (R),H,53,Chuck Grassley (R),S,1.75,Randy Hultgren (R),H,1.10
184,Michael Grimm (R),H,540,Suzan DelBene (D),H,94,Scott DesJarlais (R),H,53,Alvin Greene (D),S,1.72,Peter Shumlin (D),G,1.10
185,Pat Meehan (R),H,540,Frank Caprio (D),G,93,Joe Heck (R),H,52,Tom Perriello (D),H,1.71,Roy Barnes (D),G,1.10
186,Wally Pang (I),H,538,Mike Berryhill (R),H,91,Mike Fitzpatrick (R),H,52,Steve Pearce (R),H,1.65,John McCain (R),S,1.08
187,Sam Brownback (R),G,533,Mike Ross (D),H,91,Jon Barela (R),H,52,Rick Perry (R),G,1.62,Alan Nunnelee (R),H,1.08
188,Joe Walsh (R),H,526,Mike McWherter (D),G,90,Austin Scott (R),H,51,Diane Black (R),H,1.61,Brian Sandoval (R),G,1.07
189,Jim Renacci (R),H,526,Diane Black (R),H,90,Denny Heck (D),H,51,Dana Rohrabacher (R),H,1.58,Glenn Nye (D),H,1.04
190,Mike Beebe (D),G,525,Jon Barela (R),H,90,Glenn Nye (D),H,50,John Kitzhaber (D),G,1.57,Raymond McKinney (R),H,1.04
191,Diane Denish (D),G,524,Raj Goyle (D),H,89,Dan Debicella (R),H,50,Betsy Markey (D),H,1.57,Debbie Halvorson (D),H,1.03
192,Chet Edwards (D),H,513,Jim Huffman (R),S,89,Cory Gardner (R),H,49,Roy Barnes (D),G,1.55,Blanche Lincoln (D),S,1.03
193,John Carney (D),H,513,Scott DesJarlais (R),H,89,Mary Jo Kilroy (D),H,49,Carolyn Maloney (D),H,1.53,Julie Lassa (D),H,1.02
194,Chad Causey (D),H,503,Robert Dold (R),H,88,Jeff Flake (R),H,49,Cory Gardner (R),H,1.52,Chris Dudley (R),G,1.02
195,Dan Seals (D),H,495,Ami Bera (D),H,85,John Hickenlooper (D),G,48,Sandy Adams (R),H,1.51,Steve Stivers (R),H,1.00
196,Jerry McNerney (D),H,490,Ethan Berkowitz (D),G,84,Harry Teague (D),H,46,Dan Malloy (D),G,1.50,Pat Tiberi (R),H,1.00
197,Baron Hill (D),H,487,Dave Argall (R),H,83,Robert Dold (R),H,45,Libby Mitchell (D),G,1.50,Len Britton (R),S,0.99
198,Michael Pompeo (R),H,481,Glen Urquhart (R),H,83,Morgan Griffith (R),H,44,Charles K. Djou (R),H,1.49,Ed Martin (R),H,0.96
199,Ann McLane Kuster (D),H,459,Michael Grimm (R),H,82,Ryan L. Frazier (R),H,44,Dan Seals (D),H,1.48,Dan Lungren (R),H,0.96
200,Jim Huffman (R),S,459,Jake Towne (3),H,82,Dan Seals (D),H,44,Sam Caligiuri (R),H,1.48,Beth Anne Rankin (R),H,0.95
201,Randy Altschuler (R),H,457,Johnny Isakson (R),S,81,Julie Lassa (D),H,43,Jim Huffman (R),S,1.46,Cory Gardner (R),H,0.94
202,Dan Debicella (R),H,452,Steve Pearce (R),H,81,Randy Demmer (R),H,42,Tim Bishop (D),H,1.44,Martin Heinrich (D),H,0.94
203,William G Barnes (D),S,448,Cory Gardner (R),H,79,Harold Johnson (R),H,42,Kevin Yoder (R),H,1.43,Sam Brownback (R),G,0.94
204,Jay Townsend (R),S,446,Denny Heck (D),H,79,Frank Caprio (D),G,41,Pat Tiberi (R),H,1.38,Nan Hayworth (R),H,0.93
205,Brad Zaun (R),H,446,Brad Zaun (R),H,78,Andy Barr (R),H,41,Jari Askins (D),G,1.38,Rick Snyder (R),G,0.92
206,Alan Nunnelee (R),H,446,Suzanne M. Kosmas (D),H,78,Todd Young (R),H,40,Roxanne Conlin (D),S,1.34,John Kitzhaber (D),G,0.92
207,Pat Tiberi (R),H,442,Steve Southerland (R),H,77,Alan Nunnelee (R),H,40,Reid Ribble (R),H,1.34,Dan Seals (D),H,0.92
208,Randy Demmer (R),H,433,Mary Jo Kilroy (D),H,73,Diane Black (R),H,39,Martin O'Malley (D),G,1.34,Scott Heidepriem (D),G,0.91
209,John Stephen (R),G,422,Keith Allred (D),G,73,Betsy Markey (D),H,39,Paul Gosar (R),H,1.32,Sandy Adams (R),H,0.91
210,Diane Black (R),H,414,Matt Zeller (D),H,72,Tim Bishop (D),H,39,Ann McLane Kuster (D),H,1.32,Colleen Hanabusa (D),H,0.91
211,Bill Johnson (R),H,411,Dan Seals (D),H,71,Eric Wargotz (R),S,38,Bryan Lentz (D),H,1.31,Scott Tipton (R),H,0.90
212,Raymond McKinney (R),H,407,Eric Wargotz (R),S,71,Mark Critz (D),H,37,Randy Altschuler (R),H,1.29,Stephen Fincher (R),H,0.89
213,Debbie Halvorson (D),H,403,Reid Ribble (R),H,71,Diane Denish (D),G,36,Andy Barr (R),H,1.27,Libby Mitchell (D),G,0.88
214,Dave Argall (R),H,402,Ben Lange (R),H,71,Libby Mitchell (D),G,35,Lisa Johnston (D),S,1.25,Terry Bransrad (R),G,0.85
215,Dan Kapanke (R),H,400,Manan Trivedi (D),H,69,Frank Guinta (R),H,35,Brad Zaun (R),H,1.18,Richard Hanna (R),H,0.85
216,Mike Fitzpatrick (R),H,399,Diane Denish (D),G,69,Keith Allred (D),G,34,Lincoln Chafee (I),G,1.17,Chris Gibson (R),H,0.84
217,Tom Holland (D),G,398,Stephen Fincher (R),H,69,Steve Pougnet (D),H,32,Bill Hedrick (D),H,1.14,Mark Critz (D),H,0.84
218,Steve Pougnet (D),H,394,Paul E. Kanjorski (D),H,67,Mike Beebe (D),G,30,Lee Fisher (D),S,1.13,Bill Johnson (R),H,0.81
219,Charlie Bass (R),H,386,Randy Altschuler (R),H,63,Brian Sandoval (R),G,30,John Stephen (R),G,1.11,Dennis Ross (R),H,0.81
220,Betsy Markey (D),H,382,Bill Johnson (R),H,63,Peter Corroon (D),G,30,David Mckinley (R),H,1.10,Dana Rohrabacher (R),H,0.81
221,Steve Cohen (D),H,380,Daniel Inouye (D),S,62,Reid Ribble (R),H,30,Michael Grimm (R),H,1.09,Joseph Cao (R),H,0.79
222,Sam Caligiuri (R),H,376,Harold Johnson (R),H,62,Herseth Sandlin (D),H,30,Rory Reid (D),G,1.06,Rory Reid (D),G,0.77
223,Gary R. Herbert (R),G,369,Jeff Flake (R),H,60,Maryanne Lewis (I),H,30,Martha Roby (R),H,1.04,Frank Guinta (R),H,0.76
224,Jennifer Horn (R),H,361,Libby Mitchell (D),G,60,Raymond McKinney (R),H,29,John McCain (R),S,1.04,Chet Culver (D),G,0.76
225,Larry Bucshon (R),H,347,"Ronald \Ron\"" Klein"" (D)",H,60,Dana Rohrabacher (R),H,29,Richard Hanna (R),H,1.03,Steven Wilson (3),H,0.75
226,Keith Allred (D),G,343,Matt Mead (R),G,59,Todd Lally (R),H,28,Mary Fallin (R),G,1.03,Ethan Berkowitz (D),G,0.70
227,Beth Anne Rankin (R),H,341,Dana Rohrabacher (R),H,57,Earl Blumenauer (D),H,28,Bill Flores (R),H,1.02,Diane Black (R),H,0.70
228,Stephen Fincher (R),H,339,Bill Hedrick (D),H,57,Ron Sparks (D),G,28,Julie Lassa (D),H,1.00,Kevin Yoder (R),H,0.68
229,Ed Potosnak (D),H,334,Dan Kapanke (R),H,57,Tom Holland (D),G,28,Brett Carter (D),H,1.00,Dave Argall (R),H,0.65
230,Robert Dold (R),H,332,Todd Lally (R),H,57,Richard Hanna (R),H,28,Mary Bono Mack (R),H,0.99,Todd Young (R),H,0.63
231,Scott Bruun (R),H,332,Sam Granato (D),S,55,Bill Johnson (R),H,26,Robert Dold (R),H,0.97,John Stephen (R),G,0.62
232,John Hoeven (R),S,331,Betsy Markey (D),H,55,John McCain (R),S,26,Gary R. Herbert (R),G,0.95,John Adler (D),H,0.61
233,Eric Wargotz (R),S,329,Steve Stivers (R),H,54,Johnny Isakson (R),S,25,Scott Tipton (R),H,0.95,Scott Bruun (R),H,0.61
234,Gerry Connolly (D),H,326,John Callahan (D),H,54,Steve Southerland (R),H,25,Peter Shumlin (D),G,0.94,"Ronald \Ron\"" Klein"" (D)",H,0.59
235,Chris Gibson (R),H,325,Dan Lungren (R),H,54,Stephen Fincher (R),H,25,Ron Wyden (D),S,0.93,Chuck Grassley (R),S,0.58
236,Tom Reed (R),H,321,Butch Otter (R),G,53,Butch Otter (R),G,25,Mark Critz (D),H,0.93,Mary Bono Mack (R),H,0.58
237,Reid Ribble (R),H,314,Tim Bishop (D),H,49,Gary R. Herbert (R),G,25,John Hoeven (R),S,0.92,Gary R. Herbert (R),G,0.57
238,Ethan Berkowitz (D),G,311,Jerry Moran (R),S,48,Tom Horner (3),G,24,Jerry Moran (R),S,0.91,Reid Ribble (R),H,0.57
239,Jake Towne (3),H,308,David Mckinley (R),H,46,Mike Ross (D),H,24,Peter Corroon (D),G,0.89,Steve Pougnet (D),H,0.56
240,Walt Minnick (D),H,307,Charlie Bass (R),H,43,Dan Kapanke (R),H,24,Frank Caprio (D),G,0.89,Matt Zeller (D),H,0.56
241,Morgan Griffith (R),H,306,Gary R. Herbert (R),G,42,Steve Stivers (R),H,24,Dave Reichert (R),H,0.87,Johnny Isakson (R),S,0.56
242,Dennis Daugaard (R),G,296,Herseth Sandlin (D),H,42,Scott Bruun (R),H,23,Debbie Halvorson (D),H,0.87,Paul E. Kanjorski (D),H,0.56
243,Mark Critz (D),H,295,Julie Lassa (D),H,42,Mike McWherter (D),G,23,Ed Martin (R),H,0.85,John Lynch (D),G,0.55
244,Glen Urquhart (R),H,291,Earl Blumenauer (D),H,41,Ben Lange (R),H,23,Dave Argall (R),H,0.85,Mike Berryhill (R),H,0.54
245,John Callahan (D),H,290,Mark Critz (D),H,41,Ron Wyden (D),S,23,Glen Urquhart (R),H,0.81,Alvin Greene (D),S,0.50
246,Mike Ross (D),H,285,Ravi Sangisetty (D),H,39,Joseph Cao (R),H,23,Ethan Berkowitz (D),G,0.79,Robert Dold (R),H,0.49
247,Steve Southerland (R),H,285,Bruce Braley (D),H,38,Jim Renacci (R),H,22,Frank Guinta (R),H,0.78,Matt Mead (R),G,0.48
248,Jon Barela (R),H,280,Ron Sparks (D),G,37,Dan Lungren (R),H,22,Manan Trivedi (D),H,0.78,Dan Maffei (D),H,0.46
249,Chuck Grassley (R),S,279,Sam Brownback (R),G,37,Ken Calvert (R),H,22,Dennis Ross (R),H,0.76,Gregory Gilman (3),H,0.46
250,Todd Lally (R),H,276,Tom Holland (D),G,37,Bruce Braley (D),H,21,Chet Culver (D),G,0.74,William G Barnes (D),S,0.45
251,Len Britton (R),S,274,Frank Guinta (R),H,36,Michael Pompeo (R),H,20,Jennifer Horn (R),H,0.73,John Spratt (D),H,0.43
252,Denny Heck (D),H,266,John Hoeven (R),S,34,Pat Meehan (R),H,18,Mike McWherter (D),G,0.73,Tom Reed (R),H,0.43
253,Stephene Moore (D),H,258,Richard Hanna (R),H,34,John Adler (D),H,17,Keith Allred (D),G,0.72,Chet Edwards (D),H,0.42
254,David Mckinley (R),H,254,Andy Barr (R),H,33,Ben Quayle (R),H,17,Martin Heinrich (D),H,0.71,Lisa Johnston (D),S,0.42
255,Cam Cavasso (R),S,253,Alvin Greene (D),S,31,John Lynch (D),G,17,Bill White (D),G,0.70,Brett Carter (D),H,0.42
256,Butch Otter (R),G,248,Steve Pougnet (D),H,30,John Callahan (D),H,17,Tom Reed (R),H,0.63,Charlie Bass (R),H,0.41
257,Herseth Sandlin (D),H,231,Dan Maffei (D),H,29,Tom Reed (R),H,17,Ron Kind (D),H,0.60,Pat Meehan (R),H,0.41
258,Bruce Braley (D),H,231,Lincoln Davis (D),H,29,Walt Minnick (D),H,17,Raj Goyle (D),H,0.60,Raj Goyle (D),H,0.40
259,Scott DesJarlais (R),H,229,Stephene Moore (D),H,28,Martin Heinrich (D),H,16,Mike Ross (D),H,0.59,Ken Calvert (R),H,0.40
260,Andy Barr (R),H,221,Maryanne Lewis (I),H,28,Steven Wilson (3),H,15,Jake Towne (3),H,0.58,Frank Caprio (D),G,0.39
261,Suzanne M. Kosmas (D),H,220,Dave Reichert (R),H,27,Matt Mead (R),G,13,Dan Kapanke (R),H,0.57,Herseth Sandlin (D),H,0.39
262,John Lynch (D),G,219,John McCain (R),S,25,Pat Tiberi (R),H,13,Sam Brownback (R),G,0.55,Ben Quayle (R),H,0.37
263,Ben Lange (R),H,219,Tom Reed (R),H,25,Matt Doheny (R),H,13,Stephene Moore (D),H,0.55,Ed Potosnak (D),H,0.35
264,Rocky Raczkowski (R),H,215,Scott Heidepriem (D),G,25,Cam Cavasso (R),S,13,Herseth Sandlin (D),H,0.55,Maryanne Lewis (I),H,0.35
265,Julie Lassa (D),H,213,Walt Minnick (D),H,24,Keith Ellison (D),H,13,Steve Pougnet (D),H,0.53,Walt Minnick (D),H,0.35
266,Matt Mead (R),G,212,Carolyn Maloney (D),H,23,John Hoeven (R),S,12,Walt Minnick (D),H,0.49,Keith Allred (D),G,0.34
267,Dave Reichert (R),H,208,Ken Calvert (R),H,23,John Spratt (D),H,10,Ed Potosnak (D),H,0.48,Carolyn Maloney (D),H,0.33
268,Harry Teague (D),H,198,Chuck Grassley (R),S,21,Paul E. Kanjorski (D),H,10,Mike Berryhill (R),H,0.47,Mike Beebe (D),G,0.33
269,Paul E. Kanjorski (D),H,197,Zack Space (D),H,20,"Ronald \Ron\"" Klein"" (D)",H,10,Matt Zeller (D),H,0.46,John Hoeven (R),S,0.32
270,Lisa Johnston (D),S,195,Pat Tiberi (R),H,18,Scott Heidepriem (D),G,10,Terri McCormick (R),H,0.45,Matt Doheny (R),H,0.31
271,Tom Marino (R),H,185,Matt Doheny (R),H,17,Alvin Greene (D),S,9,Ken Calvert (R),H,0.42,Dan Kapanke (R),H,0.24
272,Matt Doheny (R),H,183,Bill Foster (D),H,16,William G Barnes (D),S,9,Joseph Cao (R),H,0.41,Peter Corroon (D),G,0.24
273,Donn Janes (I),H,177,Len Britton (R),S,15,Chuck Grassley (R),S,7,Matt Doheny (R),H,0.40,Keith Ellison (D),H,0.24
274,John Spratt (D),H,177,Cam Cavasso (R),S,15,Dan Maffei (D),H,6,Dennis Daugaard (R),G,0.40,Cam Cavasso (R),S,0.23
275,Scott Heidepriem (D),G,176,Lisa Johnston (D),S,15,Bill Foster (D),H,6,Gregory Gilman (3),H,0.38,Janice Volk (R),H,0.22
276,Matt Zeller (D),H,169,Ron Wyden (D),S,14,Gregory Gilman (3),H,6,Zack Space (D),H,0.37,Steve Cohen (D),H,0.21
277,Ken Calvert (R),H,168,Joseph Cao (R),H,12,Stephene Moore (D),H,5,M.J. Buck Elsass (3),H,0.33,Ravi Sangisetty (D),H,0.20
278,Richard Hanna (R),H,162,Martin Heinrich (D),H,12,Carolyn Maloney (D),H,5,Bill Foster (D),H,0.33,Wally Pang (I),H,0.19
279,John Adler (D),H,161,Ron Kind (D),H,12,Lisa Johnston (D),S,5,Maryanne Lewis (I),H,0.33,Mike McWherter (D),G,0.19
280,Martin Heinrich (D),H,159,Brett Carter (D),H,12,Brett Carter (D),H,5,Gabrielle Giffords (D),H,0.31,Mike Ross (D),H,0.15
281,Ravi Sangisetty (D),H,141,Keith Ellison (D),H,11,Janice Volk (R),H,4,Harry Teague (D),H,0.31,Kenny Golden (I),H,0.13
282,Ron Kind (D),H,140,Harry Teague (D),H,11,Daniel Inouye (D),S,3,William G Barnes (D),S,0.30,Bill Foster (D),H,0.12
283,Ed Perlmutter (D),H,137,Mike McMahon (D),H,9,Ravi Sangisetty (D),H,3,Steve Cohen (D),H,0.29,Daniel Inouye (D),S,0.12
284,Mike McMahon (D),H,134,Jennifer Horn (R),H,8,Tom Sullivan (D),S,3,Janice Volk (R),H,0.28,Tom Sullivan (D),S,0.12
285,Bill Foster (D),H,128,Jim Sheets (I),H,7,Steve Cohen (D),H,3,Cam Cavasso (R),S,0.27,Butch Otter (R),G,0.10
286,Brett Carter (D),H,125,William G Barnes (D),S,6,Ron Kind (D),H,2,Charlie Bass (R),H,0.26,Ron Kind (D),H,0.10
287,Dan Maffei (D),H,124,Dennis Daugaard (R),G,6,Jim Sheets (I),H,2,Dan Davis (3),H,0.25,Stephene Moore (D),H,0.10
288,Dan Lungren (R),H,119,Tom Sullivan (D),S,6,Ed Perlmutter (D),H,2,Tom Sullivan (D),S,0.23,Ed Perlmutter (D),H,0.10
289,Zack Space (D),H,112,Terri McCormick (R),H,5,Aubrey Immelman (I),H,2,Butch Otter (R),G,0.22,Dan Davis (3),H,0.08
290,"Ronald \Ron\"" Klein"" (D)",H,109,Gregory Gilman (3),H,5,Kenny Golden (I),H,2,Len Britton (R),S,0.21,Lincoln Davis (D),H,0.07
291,M.J. Buck Elsass (3),H,93,Janice Volk (R),H,5,George Metcalfe (I),H,2,Mike McMahon (D),H,0.21,Dennis Daugaard (R),G,0.07
292,Lincoln Davis (D),H,73,Steven Wilson (3),H,4,Lincoln Davis (D),H,1,Steven Wilson (3),H,0.20,Aubrey Immelman (I),H,0.04
293,Maryanne Lewis (I),H,68,Steve Cohen (D),H,4,Mike McMahon (D),H,1,Keith Ellison (D),H,0.20,George Metcalfe (I),H,0.03
294,Tom Sullivan (D),S,64,Ed Perlmutter (D),H,4,Dennis Daugaard (R),G,1,Wally Pang (I),H,0.19,Jim Sheets (I),H,0.03
295,Jim Sheets (I),H,63,M.J. Buck Elsass (3),H,4,Dan Davis (3),H,1,Ed Perlmutter (D),H,0.19,Mike McMahon (D),H,0.02
296,Brent Wangen (3),H,54,Dan Davis (3),H,3,Michele Bachmann (R),H,0,Kenny Golden (I),H,0.13,Michele Bachmann (R),H,0.00
297,Aubrey Immelman (I),H,42,Aubrey Immelman (I),H,2,Jennifer Horn (R),H,0,Jim Sheets (I),H,0.09,Jennifer Horn (R),H,0.00
298,Kenny Golden (I),H,41,Kenny Golden (I),H,2,Terri McCormick (R),H,0,Aubrey Immelman (I),H,0.04,Terri McCormick (R),H,0.00
299,Gregory Gilman (3),H,34,George Metcalfe (I),H,1,M.J. Buck Elsass (3),H,0,George Metcalfe (I),H,0.01,M.J. Buck Elsass (3),H,0.00
300,Janice Volk (R),H,31,David Ryon (3),H,0,David Ryon (3),H,0,David Ryon (3),H,0.00,David Ryon (3),H,0.00
301,George Metcalfe (I),H,28,Donn Janes (I),H,0,Donn Janes (I),H,0,Donn Janes (I),H,0.00,Donn Janes (I),H,0.00
302,Dan Davis (3),H,10,Brent Wangen (3),H,0,Brent Wangen (3),H,0,Brent Wangen (3),H,0.00,Brent Wangen (3),H,0.00
"Note 1. GGubernatorial race, SSenate race, HHouse of Representative race",,,,,,,,,,,,,,,
"Note 2. (R) Republican Party, (D) Democratic Party, (I) Independent, (3) 3rd party",,,,,,,,,,,,,,,
